,,,,,,,,,,,,,,,
"Stock Market Data Used in ""Irrational Exuberance"" Princeton University Press, 2000, 2005, 2015, updated",,,,,,,,,,,,Cyclically,,Cyclically ,
Robert J. Shiller ,,,,,,,,,,,,Adjusted,,Adjusted,
,,,,,,,,,,,,Price,,Total Return Price,
,,,,  Consumer,,,,,Real,,Real,Earnings,,Earnings,
,S&P,,,Price,,Long,,,Total,,TR,Ratio,,Ratio,
,Comp.,Dividend,Earnings,Index,Date  ,Interest,Real,Real,Return,Real,Scaled,P/E10 or,,TR P/E10 or,
Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend,Price,Earnings,Earnings,CAPE,,TR CAPE,
1875.02,4.53,0.33,0.44,11.51,1875.12,5.03,101.99,7.32,131.83,9.98,12.90,NA,,NA,
1875.03,4.59,0.32,0.44,11.51,1875.21,4.99,103.34,7.26,134.35,9.79,12.73,NA,,NA,
1875.04,4.65,0.32,0.43,11.61,1875.29,4.95,103.84,7.15,135.77,9.53,12.46,NA,,NA,
1875.05,4.47,0.32,0.42,11.32,1875.37,4.91,102.33,7.27,134.60,9.58,12.60,NA,,NA,
1875.06,4.38,0.32,0.41,11.13,1875.46,4.87,101.99,7.33,134.94,9.55,12.63,NA,,NA,
1875.07,4.39,0.31,0.40,11.13,1875.54,4.83,102.22,7.28,136.06,9.35,12.45,NA,,NA,
1875.08,4.41,0.31,0.39,11.23,1875.62,4.79,101.82,7.16,136.31,9.08,12.16,NA,,NA,
1875.09,4.37,0.31,0.39,11.13,1875.71,4.75,101.75,7.16,137.03,8.96,12.07,NA,,NA,
1875.1,4.30,0.31,0.38,11.13,1875.79,4.71,100.12,7.10,135.63,8.77,11.88,NA,,NA,
1875.11,4.37,0.30,0.37,11.04,1875.87,4.67,102.63,7.10,139.83,8.65,11.78,NA,,NA,
1875.12,4.37,0.30,0.36,10.94,1875.96,4.63,103.52,7.11,141.85,8.53,11.69,NA,,NA,
